"serie","fecha","valor","mes","año"
"Velocidad de expansión (porcentaje), referencia 2018","2019-NA-1",2,NA,2019
"Velocidad de expansión (porcentaje), referencia 2018","2019-NA-1",2,NA,2019
"Velocidad de expansión (porcentaje), referencia 2018","2019-NA-1",-10,NA,2019
"Velocidad de expansión (porcentaje), referencia 2018","2019-NA-1",-31,NA,2019
"Velocidad de expansión (porcentaje), referencia 2018","2019-NA-1",-40,NA,2019
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",-11,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",24,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",19,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",-42,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",-106,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",-127,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",-85,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",-17,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",52,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",80,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",83,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2020-NA-1",69,NA,2020
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",54,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",50,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",36,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",20,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",4,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",10,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",31,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",42,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",43,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",33,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",30,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2021-NA-1",23,NA,2021
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",9,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-9,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-15,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-12,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-3,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-5,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-7,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-7,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-2,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",8,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",2,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2022-NA-1",-1,NA,2022
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",-4,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",3,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",7,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",2,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",-3,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",-7,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",-3,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",2,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",8,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",7,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",7,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2023-NA-1",0,NA,2023
"Velocidad de expansión (porcentaje), referencia 2018","2024-NA-1",4,NA,2024
"Velocidad de expansión (porcentaje), referencia 2018","2024-NA-1",10,NA,2024
"Velocidad de expansión (porcentaje), referencia 2018","2024-NA-1",21,NA,2024
"Velocidad de expansión (porcentaje), referencia 2018","2024-NA-1",15,NA,2024
"Velocidad de expansión (porcentaje), referencia 2018","2024-NA-1",3,NA,2024
"Velocidad de expansión (porcentaje), referencia 2018","2024-NA-1",-6,NA,2024
